,ENSG00000006534,ENSG00000067057,ENSG00000067225,ENSG00000072210,ENSG00000074800,ENSG00000079739,ENSG00000091140,ENSG00000100889,ENSG00000102144,ENSG00000105220,ENSG00000105679,ENSG00000106633,ENSG00000107789,ENSG00000108515,ENSG00000108602,ENSG00000109107,ENSG00000111275,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000111716,ENSG00000117448,ENSG00000124253,ENSG00000130957,ENSG00000131069,ENSG00000131482,ENSG00000131828,ENSG00000132746,ENSG00000134333,ENSG00000136872,ENSG00000137124,ENSG00000141349,ENSG00000141959,ENSG00000143149,ENSG00000143627,ENSG00000143891,ENSG00000149925,ENSG00000150768,ENSG00000152254,ENSG00000152556,ENSG00000154930,ENSG00000156510,ENSG00000156515,ENSG00000159322,ENSG00000159399,ENSG00000160883,ENSG00000163114,ENSG00000164708,ENSG00000164904,ENSG00000165140,ENSG00000166796,ENSG00000166800,ENSG00000168291,ENSG00000169299,ENSG00000170950,ENSG00000171314,ENSG00000171989,ENSG00000172331,ENSG00000172955,ENSG00000187758,ENSG00000188316,ENSG00000196344,ENSG00000196616,ENSG00000197894,ENSG00000198099,ENSG00000226784,ENSG00000248144
TCGA-78-7153-01A,5.114610567692093,0.479802961885329,4.595305811186599,3.5716270273091384,6.270107189204862,-0.9962814091805887,0.7366653098074774,1.1794554160567285,0.49498582072106956,2.5802572657935894,-4.486534050035867,-4.43419657891701,-1.0048222850676884,2.92401433230631,0.11010816476126184,1.1058801245653394,1.9466554578773287,7.845253286496008,6.242725086021641,1.9977910594270991,2.0168223197179804,2.1601244360462077,-0.8059198341492178,-4.421279365755434,-0.4636597176740338,-4.486534050035867,1.7865607101664045,-3.051441065968604,5.5204902238397535,-2.195921239553633,3.093328733673249,4.04849727115131,1.5418475750400455,0.9722661191533088,-4.4390870713055905,-0.3129086048853513,7.128560075523237,0.740977781106352,-4.486534050035867,-0.1328903060440738,0.26524005431267295,-0.11010816476126184,-0.30825870253382126,0.5266396050356992,-1.5877767149997766,-2.606377856864975,-4.112268416396274,-4.486534050035867,0.6195154567782812,2.3097976177019026,-4.486534050035867,-4.345797722761195,2.7504599643000907,-1.4298689803351623,-4.486534050035867,1.5724511288149712,-3.935238703402903,-1.280087459669255,-0.933067689380372,-4.371176350459625,-4.3433965879167165,-4.193917407685124,-2.604851405366655,3.067030313935261,-4.486534050035867,-3.514456779629672,1.5822118749390945
TCGA-38-4626-01A,5.296163926970049,-0.3075934472827053,4.683907615889188,1.9168553709683893,6.292450091066337,0.2112586614730847,0.4775704316079996,1.7131169793963723,0.8152018783375161,2.2124279811102383,-5.02510077494218,-4.904583444014245,-1.3130423890367395,-1.6564865067059578,-0.5532510425925969,1.8022739135208834,1.989237694155383,7.911774319288206,6.477482634861287,1.5945596698844895,1.3684279256887306,2.3562874912805283,-4.377377692859334,-4.9609547303452715,1.7458799308852582,-4.99723832651506,1.1674629889844983,-1.838144575675053,4.884070116646153,-4.7389811099673675,1.89737176549054,3.0121184906785334,2.225576561131188,1.2420480603060078,-4.993843205427168,-1.3442044150404495,6.903390372688742,0.1456612674573674,-4.939556998881821,-0.14566126745736696,-0.19536798336160466,-1.5028860216940985,0.30362779910580384,1.2497081854330814,1.2966602616626153,1.8635287217335792,-5.02510077494218,-5.02510077494218,-0.8940702873624038,2.0158017828406916,-4.931637731684334,-4.829201482446528,2.8890105567215834,-0.6502848789993396,-5.02510077494218,2.3200063158889286,-3.24310184800681,-0.8322935258334718,-4.306681576476184,-4.521164979320162,-4.889931319801077,-4.690975966002574,1.303871421942664,2.5171321678961602,-4.633651376863,-3.751621492862756,-2.6536799976351872
TCGA-55-8614-01A,3.5299704741298545,0.6385497085700251,5.928820361173527,1.6273082222609956,7.025807357276955,0.2139966475317081,0.5414307314098967,1.4551203443719594,1.3447991951914475,3.161589493009802,-4.449659351947829,-4.5695582171401865,-0.823922649891907,-0.5607816388461568,-1.2310665494239703,2.8309145996230916,1.968070792347059,8.963853686520377,6.754065135339406,2.94235342730168,1.8116918085685114,2.886937831723899,-2.230002372854303,-4.505880105373821,0.13123835937269934,-4.630707735716175,1.8028115523522183,-0.8557160621831059,5.572397254710744,-4.028731058891247,3.22435998580956,2.939613329300653,3.3237537908142656,0.5716798760560375,-4.539438603487763,-1.569765054862987,7.713843215638391,0.17299834428982308,-4.389300144320131,0.30476439934827093,0.17379146961583603,-2.149003136690512,0.06422924834871369,0.8096368094426856,-0.3608090398477537,-1.3005098523259169,-4.630707735716175,-4.630707735716175,-1.7210066376606803,-0.06422924834871413,-3.7368723060591957,-4.327943233659285,2.7147995705485943,-0.6190565846312559,-4.630707735716175,2.8665087683251427,-3.135977454397175,1.407470408211882,-3.0596305248494424,-4.057533278593716,-4.2888335528581365,-0.14181338071274885,-1.1658871670979432,3.6937706918031994,-4.565174700878697,-4.075285311538984,-0.16558532173044727
TCGA-55-7283-01A,5.777797699814328,-1.4923123261640978,4.707492470121361,1.516489309711608,6.5694287415664565,0.40914968296648313,1.161614820221772,1.149310139398216,0.6121001955585128,3.0271856393636,-4.9529655970896105,-4.84734483165413,-0.9549265498192288,-2.367272239516177,-1.793399959631202,2.5970999292649863,1.75284165422377,7.997026596465389,6.089685844269313,0.6354093121132589,2.455261618932703,3.311434440530381,-4.9529655970896105,-4.84290109290375,1.1248992316999167,-4.881198954573434,1.4363280724439922,-1.6185229159247576,5.576186662536799,-4.320870052638598,3.5593887929418986,3.125382809177911,2.208680206416705,2.199276638819264,-4.9529655970896105,-0.23751016330337915,7.360425855071751,0.3689836197867429,-4.84208606951324,0.6472939392018753,-0.9833643304093305,-0.22241119264172937,0.902344292998289,0.2166125810649766,0.6615547277287916,-1.5989088367156994,-4.9529655970896105,-4.9529655970896105,-0.2166125810649766,2.2090881900684267,-4.927929918024059,-4.870915295965716,3.8069200219302384,-0.3040446164998376,-4.9529655970896105,1.8859491989081678,-3.8180229956269445,-0.2904297479321767,-4.542234439349693,-4.439092346763131,-4.5727086125183085,-4.545891341527721,1.5824882939233436,2.769277473731163,-4.867343516657352,-2.99563411051228,-3.100237233354522
TCGA-44-2662-01B,1.8233853948305978,0.7225667441114156,3.8928435429888486,0.8312043307444079,4.816914962385245,0.1331793335782887,1.6976550719697943,-0.3970855481070623,1.6730172981211693,2.5415801309305124,-3.4161539366085822,-4.081130019219358,-0.549916121067846,-1.4391298464982594,-4.187147030767678,2.2067314405294844,0.6003033491263694,7.3428460342373505,5.661150712853968,3.3310022535867994,0.20271711559008132,1.5618101578888397,-3.192959766555651,-3.9740549525352646,-0.43084787837090155,-3.800658179862957,1.4763140950524876,-0.6663438363363006,6.028904069299504,-2.928999762409026,2.2208913828605734,1.1650000354323615,1.0728097149721512,0.8580476608399166,-3.3350559114722467,-1.0762847634761155,5.65306144898576,1.2951077847965728,-3.2145523430135023,-0.14537313070935776,-1.3666289750505727,-0.6412770399865739,-0.28020599174821825,2.3159274746850835,2.308901514981807,0.2979587825829615,-4.187147030767678,-4.187147030767678,-0.13317933357828826,0.353881659579351,-3.9110963375178347,-2.5479312943853953,2.462126789737673,0.8075078508808655,-2.3476522622976166,1.980253802894672,1.428448683316975,1.0684308362690906,-2.1959132806334085,-2.4686655259938415,-3.3332904968360477,-3.46072995202762,-2.9942442386701518,3.0103376288738932,-2.331550600452096,-1.8267226021847929,-2.1533517331549614
TCGA-MP-A4T6-01A,4.89217554066691,0.17076867194449452,5.016046399048379,1.7656175949394024,7.259293571590664,0.11906689032346884,0.15098538921996507,2.2870261917625703,0.46663978197703715,2.384413832724354,-4.62122626048015,-4.640464807516202,-1.537056449030224,0.9393777135502126,-2.7379340559267566,3.7927494037412055,1.2116238620458235,8.527087732910037,6.724174470481721,3.119303829874446,0.679759396158012,2.61458708192378,-4.584545733688085,-4.638910128278304,1.7761849282932012,-4.628308850977037,1.760022889873314,-2.0102040708030673,4.866775098691397,-4.4436562818841265,0.7259300557945334,3.9696714628903527,3.532451473581683,1.6235556297685925,-4.059009670140583,-0.5999594991284489,7.896315344932523,0.041193601788921175,-4.601710938243297,0.24796829669678733,2.1485483906509897,-1.5210354977867355,-0.07729642381116664,1.7223008205422357,-0.6577144240609054,-0.041193601788921175,-4.676507711245465,-4.676507711245465,-1.0228324433535065,1.223368996799346,-3.3656862161566012,-4.328423715330788,2.686796031199993,-0.5960785235714869,-3.784651979612187,1.3702630476966675,-4.336714240567634,-0.4762090718562466,-3.15807559318515,-4.6315289787155525,-4.351168028224204,-3.9701340812718806,-1.382954781955639,2.2407813007197044,-4.600214818457284,-3.6078210825952315,-3.7409310602388155
TCGA-44-3918-01B,2.1646023581962033,0.3980483511117199,3.2033250469165298,2.9286189266720903,4.519531461305875,-0.4635068640251483,1.0004840220070927,1.62639051624135,1.1582325342687336,1.6561478337741247,-1.9810063766270969,-3.462140031243843,-0.58016377480458,-1.3542397531320882,-2.725139083122001,0.3797310847518718,0.5080881734654898,6.338087808642059,4.928627833637107,2.365301786278991,0.7185588760420241,1.9704475907209447,-3.2254044975458207,-3.397077916867892,-0.09561564685491453,-3.5246786797178657,0.7494637809128837,-2.5091155542602395,5.745142026535099,-2.6921702704846124,2.417106863430247,1.3581525921901405,1.0379739311513272,0.6634968303109412,-3.038286298748629,-0.8274424512897859,5.25029107504472,0.9816674556834322,-3.396138725414562,-0.11634397750933023,0.5497112054374482,-1.9762769720487003,-0.5924669092741132,2.3977224813418365,0.3625886026610685,-0.1832666234781628,-2.397771445267181,-3.5246786797178657,-1.674428991533541,0.5199528979257453,-3.495516630363012,-1.4749878360829938,2.4623690986771787,0.0956156468549143,-3.5246786797178657,1.5726111724108263,1.0754709263097175,-0.5232548684965712,-1.6987742859927941,-2.6957190371334177,-3.205579701083841,-3.5246786797178657,0.12469742438798126,2.0600358167679294,-2.1633829096465753,-1.7580842665395748,-2.94024076481626
TCGA-62-8394-01A,3.6984587692932562,0.8096343161275921,4.6668028334031435,2.655092196954456,7.188183381918498,-0.517569832299924,0.2796306168428302,1.1516874759578224,1.5869092176622734,3.279772316156377,-5.090803673877031,-5.043865430749835,-1.0152576479564637,-0.7645829124919556,0.8207532203944035,3.563538985949343,1.9617041459941307,8.659236277437817,6.888332752666632,2.0151406346381826,2.2624377255108827,3.5369454754334813,-4.94310189903126,-5.112228460989105,0.24900430618315106,-5.157967071480317,2.290675107389948,0.2720700511132068,5.485371962981648,-2.982883825142952,2.2350341376256626,3.700533208155691,3.3957488532475457,-0.23026431814924653,-5.157967071480317,-0.8500462580577017,6.876707176919493,0.35838836342926106,-5.157967071480317,-1.0656158590316838,0.6359226781197345,-1.0677771658715036,-0.5647333390395386,0.5023318030284765,0.09959368720085315,-1.1258081681037915,-5.157967071480317,-5.157967071480317,-0.09959368720085315,0.25895098316824194,-5.157967071480317,-5.058557596888001,2.1481472379346416,-1.1184150840602514,-5.157967071480317,2.0386578403291606,-3.9588498080186847,-0.4877121198256491,-2.9946472563695616,-4.950651757317351,-5.106516099106436,-4.738790392067299,-1.3154905395551304,2.92780523959878,-5.043180632758254,-4.741408071552664,1.1504245819261003
TCGA-62-8395-01A,7.324107777083921,1.3707284723601978,4.666123654202223,5.072328651634707,6.119416696238619,0.03829772109185958,0.29124778332207235,0.35652446928618975,0.17083226279143604,2.053876060185435,-5.7226427380897915,-5.459655459213023,-1.6329274593976915,0.5887233509417733,5.418871830014477,-0.03957949331834287,1.663820031959295,8.213715047612311,6.779410417800418,2.699253150234517,1.136509988733966,2.254550010991574,-5.432260344545952,-5.458111947439873,1.2224782661202598,-5.7226427380897915,1.0695150823016712,-1.5068546796247184,4.982177412724858,-5.506253288769219,2.170409222984536,4.078069155327898,2.9156377696806484,1.0127897335180789,-5.547261939952357,-1.1048901960602642,7.195814056792659,-0.6441200445359052,-5.7226427380897915,0.0321249234713612,0.9765966220442053,-1.4770217603628613,-0.032124923471361644,0.3850495411181667,-1.510658859705864,-2.062699903476541,-5.7226427380897915,-5.7226427380897915,-0.6281585172934774,1.2290842281191798,-4.4001571202207295,-5.207468405751869,2.6951232464164816,-2.154360052650254,-5.7226427380897915,1.5961790438621826,-4.490302736486052,0.0757321965079969,-1.844649902164734,-5.6472627405734315,-5.427707077607536,-5.629255343200223,-0.6255260742240973,2.281314440800818,-5.595694477991854,-5.7226427380897915,-1.3470676235673982
TCGA-MP-A4TA-01A,6.700547462920338,0.9350668481284781,4.31713445262136,0.3727256304193265,6.2221972381009785,-0.13363062429077166,0.9120549807417508,1.3251886688151289,0.13197997208984935,2.260501435343096,-5.303957033872521,-5.214981863145404,-0.0885596927652208,0.6820261075629377,1.3449328217826264,1.3175632624532665,0.33482227924833374,8.171409963796462,6.161636220892156,0.25415583235532546,1.2210174829154314,1.9496799623249355,-4.471870258470317,-5.263478824045469,-0.005966587167947068,-5.303957033872521,1.578769285565802,0.3628612240411262,5.343295581853738,-5.162573391722416,1.7613353980053588,3.119647892597053,2.897192691495516,0.3143267329098771,-4.89363503949063,-0.33390520606974006,7.53119917559388,0.412004742110776,-5.223507900271014,0.4736996044873485,-1.4104846017142783,-2.238379866213406,-1.1786162809429404,0.43000190628637247,0.005966587167947068,-0.6583811000744895,-2.6951461356262802,-5.303957033872521,-0.21302064604561854,-0.3123464779334473,-4.346078547894673,-5.244587850927944,2.4414541506797334,-0.48400841815912843,-3.647955755085612,1.4702155981316252,-2.0429830744570503,-1.1652167914772522,-3.0371730108945143,-5.2086982760045215,-4.668671119993448,-4.771130286423516,-3.4975270535311935,1.8401540701084191,-5.035119102593038,-4.930225904941463,0.5266426647126696
